year,car,vehicle_db_match,lap_time_s,lap_time_str,tires,tire_category,mod_level,source_quality,driver_level,notes
2018,Ford Mustang GT PP2 S550,ford_mustang_gt_s550,173.8,2:53.8,Michelin Pilot Sport Cup 2,super_200tw,stock,professional,pro,460hp. PP2 package.
2016,Ford Mustang Shelby GT350R,ford_mustang_gt350,171.8,2:51.8,Michelin Pilot Sport Cup 2,super_200tw,stock,professional,pro,526hp.
2015,Nissan GT-R NISMO R35,nissan_gtr_r35,169.4,2:49.4,Dunlop SP Sport Maxx GT 600 DSST,super_200tw,stock,professional,pro,600hp. AWD.
2012,Nissan GT-R R35,nissan_gtr_r35,173.2,2:53.2,Dunlop SP Sport Maxx GT 600 DSST,super_200tw,stock,professional,pro,530hp. AWD.
2021,Subaru STI S209,subaru_wrx_sti_va,183.4,3:03.4,Dunlop Sport Maxx Race,super_200tw,stock,professional,pro,341hp. AWD. Limited edition.
2018,Subaru WRX STI Type RA,subaru_wrx_sti_va,184.9,3:04.9,Dunlop Sport Maxx Race,super_200tw,stock,professional,pro,310hp. AWD. Stripped Type RA.
2015,Subaru WRX STI VA,subaru_wrx_sti_va,190.5,3:10.5,Dunlop Sport Maxx,endurance_200tw,stock,professional,pro,305hp. AWD.
2023,Porsche 718 Cayman GT4 RS,porsche_cayman_gt4_718,160.5,2:40.5,Michelin Pilot Sport Cup 2 R,100tw,stock,professional,pro,493hp 3053lb.
2021,Porsche 718 Cayman GT4,porsche_cayman_gt4_718,170.3,2:50.3,Michelin Pilot Sport Cup 2,super_200tw,stock,professional,pro,414hp 3158lb.
2019,Alfa Romeo Giulia QV,alfa_romeo_giulia_qv,177.2,2:57.2,Pirelli P Zero Corsa,super_200tw,stock,professional,pro,505hp 3793lb.
2023,Audi RS3,audi_rs3_8v,172.5,2:52.5,Pirelli P Zero Trofeo R,100tw,stock,professional,pro,401hp. AWD. R-compound explicitly called out.
2018,Audi TT RS 8S,audi_ttrs_8s,178.5,2:58.5,Pirelli P Zero,street,stock,professional,pro,400hp. AWD.
2019,Mercedes-AMG C63 S W205,mercedes_amg_c63_w205,177.1,2:57.1,Michelin Pilot Sport Cup 2,super_200tw,stock,professional,pro,503hp 4059lb.
2016,Ford Focus RS Mk3,ford_focus_rs_mk3,183.9,3:03.9,Michelin Pilot Sport 3,endurance_200tw,stock,professional,pro,350hp. AWD.
2024,Acura Integra Type S,acura_integra_type_s_de5,184.2,3:04.2,Michelin Pilot Sport Cup 2,super_200tw,stock,professional,pro,320hp 3208lb. FWD.
2019,Hyundai Veloster N,hyundai_veloster_n,187.7,3:07.7,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,275hp 3086lb.
2025,Hyundai Elantra N,hyundai_elantra_n,186.4,3:06.4,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,276hp 3242lb. Corrected time on fresh rubber.
2023,Volkswagen Golf GTI Mk8,volkswagen_gti_mk8,191.4,3:11.4,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,241hp 3311lb.
2015,Volkswagen GTI Mk7,volkswagen_gti_mk7,194.6,3:14.6,Continental ExtremeContact DW,street,stock,professional,pro,210hp.
2025,Mazda MX-5 Miata ND2,mazda_miata_nd,195.6,3:15.6,Bridgestone Potenza S007A,endurance_200tw,stock,professional,pro,181hp 2350lb.
2008,Honda S2000 CR,honda_s2000_ap1,195.0,3:15.0,Bridgestone Potenza RE070R,super_200tw,stock,professional,pro,237hp 2800lb. CR = Club Racer.
2021,Lexus RC F Track Edition,lexus_rc_f,182.6,3:02.6,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,472hp.
2024,Honda Civic Si,honda_civic_si_10th,196.9,3:16.9,Continental ExtremeContact Sport 02,street,stock,professional,pro,200hp 2941lb.
2022,Porsche 911 GT3 992,porsche_911_gt3_992,160.6,2:40.6,Michelin Pilot Sport Cup 2 R,100tw,stock,professional,pro,502hp 3229lb.
2018,Porsche 911 GT3 991.2,porsche_911_gt3_991,167.0,2:47.0,Michelin Pilot Sport Cup 2,super_200tw,stock,professional,pro,500hp 3153lb.
2022,Subaru BRZ Limited ZD8,toyota_gr86_zn8,192.4,3:12.4,Michelin Pilot Sport 4S,endurance_200tw,stock,professional,pro,228hp 2842lb. Same platform as GR86.
